1->0["{'txnID': 1, 'idx': 0, 'idy': 0, 'coins': 0}"]
52->1["{'txnID': 52, 'idx': None, 'idy': 50, 'coins': 50}"]
53->1["{'txnID': 53, 'idx': None, 'idy': 51, 'coins': 50}"]
54->1["{'txnID': 54, 'idx': None, 'idy': 52, 'coins': 50}"]
55->1["{'txnID': 55, 'idx': None, 'idy': 53, 'coins': 50}"]
56->1["{'txnID': 56, 'idx': None, 'idy': 54, 'coins': 50}"]
57->1["{'txnID': 57, 'idx': None, 'idy': 55, 'coins': 50}"]
58->1["{'txnID': 58, 'idx': None, 'idy': 56, 'coins': 50}"]
59->1["{'txnID': 59, 'idx': None, 'idy': 57, 'coins': 50}"]
60->1["{'txnID': 60, 'idx': None, 'idy': 58, 'coins': 50}"]
61->1["{'txnID': 61, 'idx': None, 'idy': 59, 'coins': 50}"]
62->9["{'txnID': 62, 'idx': None, 'idy': 7, 'coins': 50}"]
63->9["{'txnID': 63, 'idx': None, 'idy': 13, 'coins': 50}"]
64->9["{'txnID': 64, 'idx': None, 'idy': 59, 'coins': 50}"]
65->4["{'txnID': 65, 'idx': None, 'idy': 2, 'coins': 50}"]
66->9["{'txnID': 66, 'idx': None, 'idy': 46, 'coins': 50}"]
67->9["{'txnID': 67, 'idx': None, 'idy': 48, 'coins': 50}"]
68->9["{'txnID': 68, 'idx': None, 'idy': 15, 'coins': 50}"]
69->9["{'txnID': 69, 'idx': None, 'idy': 17, 'coins': 50}"]
70->9["{'txnID': 70, 'idx': None, 'idy': 42, 'coins': 50}"]
71->9["{'txnID': 71, 'idx': None, 'idy': 8, 'coins': 50}"]
72->9["{'txnID': 72, 'idx': None, 'idy': 6, 'coins': 50}"]
73->51["{'txnID': 73, 'idx': None, 'idy': 49, 'coins': 50}"]
74->9["{'txnID': 74, 'idx': None, 'idy': 29, 'coins': 50}"]
75->9["{'txnID': 75, 'idx': None, 'idy': 57, 'coins': 50}"]
76->9["{'txnID': 76, 'idx': None, 'idy': 22, 'coins': 50}"]
77->4["{'txnID': 77, 'idx': None, 'idy': 58, 'coins': 50}"]
78->9["{'txnID': 78, 'idx': None, 'idy': 31, 'coins': 50}"]
79->9["{'txnID': 79, 'idx': None, 'idy': 28, 'coins': 50}"]
80->9["{'txnID': 80, 'idx': None, 'idy': 37, 'coins': 50}"]
81->9["{'txnID': 81, 'idx': None, 'idy': 47, 'coins': 50}"]
82->9["{'txnID': 82, 'idx': None, 'idy': 44, 'coins': 50}"]
83->9["{'txnID': 83, 'idx': None, 'idy': 12, 'coins': 50}"]
84->9["{'txnID': 84, 'idx': None, 'idy': 45, 'coins': 50}"]
85->9["{'txnID': 85, 'idx': None, 'idy': 21, 'coins': 50}"]
86->9["{'txnID': 86, 'idx': None, 'idy': 38, 'coins': 50}"]
87->9["{'txnID': 87, 'idx': None, 'idy': 11, 'coins': 50}"]
88->9["{'txnID': 88, 'idx': None, 'idy': 40, 'coins': 50}"]
89->51["{'txnID': 89, 'idx': None, 'idy': 39, 'coins': 50}"]
90->27["{'txnID': 90, 'idx': None, 'idy': 25, 'coins': 50}"]
91->4["{'txnID': 91, 'idx': None, 'idy': 14, 'coins': 50}"]
92->9["{'txnID': 92, 'idx': None, 'idy': 56, 'coins': 50}"]
93->9["{'txnID': 93, 'idx': None, 'idy': 52, 'coins': 50}"]
94->9["{'txnID': 94, 'idx': None, 'idy': 33, 'coins': 50}"]
95->9["{'txnID': 95, 'idx': None, 'idy': 16, 'coins': 50}"]
96->9["{'txnID': 96, 'idx': None, 'idy': 55, 'coins': 50}"]
97->9["{'txnID': 97, 'idx': None, 'idy': 23, 'coins': 50}"]
98->9["{'txnID': 98, 'idx': None, 'idy': 32, 'coins': 50}"]
99->9["{'txnID': 99, 'idx': None, 'idy': 18, 'coins': 50}"]
100->9["{'txnID': 100, 'idx': None, 'idy': 49, 'coins': 50}"]
101->9["{'txnID': 101, 'idx': None, 'idy': 20, 'coins': 50}"]
102->9["{'txnID': 102, 'idx': None, 'idy': 41, 'coins': 50}"]
103->95["{'txnID': 103, 'idx': None, 'idy': 16, 'coins': 50}"]
104->4["{'txnID': 104, 'idx': None, 'idy': 50, 'coins': 50}"]
105->9["{'txnID': 105, 'idx': None, 'idy': 25, 'coins': 50}"]
106->9["{'txnID': 106, 'idx': None, 'idy': 51, 'coins': 50}"]
107->9["{'txnID': 107, 'idx': None, 'idy': 9, 'coins': 50}"]
108->9["{'txnID': 108, 'idx': None, 'idy': 3, 'coins': 50}"]
109->51["{'txnID': 109, 'idx': None, 'idy': 53, 'coins': 50}"]
110->95["{'txnID': 110, 'idx': None, 'idy': 17, 'coins': 50}"]
111->95["{'txnID': 111, 'idx': None, 'idy': 11, 'coins': 50}"]
112->95["{'txnID': 112, 'idx': None, 'idy': 59, 'coins': 50}"]
113->95["{'txnID': 113, 'idx': None, 'idy': 21, 'coins': 50}"]
114->95["{'txnID': 114, 'idx': None, 'idy': 8, 'coins': 50}"]
115->9["{'txnID': 115, 'idx': None, 'idy': 30, 'coins': 50}"]
116->95["{'txnID': 116, 'idx': None, 'idy': 6, 'coins': 50}"]
117->95["{'txnID': 117, 'idx': None, 'idy': 29, 'coins': 50}"]
118->95["{'txnID': 118, 'idx': None, 'idy': 57, 'coins': 50}"]
119->9["{'txnID': 119, 'idx': None, 'idy': 10, 'coins': 50}"]
120->95["{'txnID': 120, 'idx': None, 'idy': 44, 'coins': 50}"]
121->9["{'txnID': 121, 'idx': None, 'idy': 2, 'coins': 50}"]
122->95["{'txnID': 122, 'idx': None, 'idy': 58, 'coins': 50}"]
123->9["{'txnID': 123, 'idx': None, 'idy': 19, 'coins': 50}"]
124->9["{'txnID': 124, 'idx': None, 'idy': 1, 'coins': 50}"]
125->9["{'txnID': 125, 'idx': None, 'idy': 36, 'coins': 50}"]
126->4["{'txnID': 126, 'idx': None, 'idy': 26, 'coins': 50}"]
127->95["{'txnID': 127, 'idx': None, 'idy': 28, 'coins': 50}"]
128->9["{'txnID': 128, 'idx': None, 'idy': 54, 'coins': 50}"]
129->95["{'txnID': 129, 'idx': None, 'idy': 48, 'coins': 50}"]
130->9["{'txnID': 130, 'idx': None, 'idy': 43, 'coins': 50}"]
131->9["{'txnID': 131, 'idx': None, 'idy': 35, 'coins': 50}"]
132->9["{'txnID': 132, 'idx': None, 'idy': 34, 'coins': 50}"]
133->9["{'txnID': 133, 'idx': None, 'idy': 24, 'coins': 50}"]
134->9["{'txnID': 134, 'idx': None, 'idy': 27, 'coins': 50}"]
135->95["{'txnID': 135, 'idx': None, 'idy': 31, 'coins': 50}"]
136->95["{'txnID': 136, 'idx': None, 'idy': 13, 'coins': 50}"]
137->95["{'txnID': 137, 'idx': None, 'idy': 46, 'coins': 50}"]
138->95["{'txnID': 138, 'idx': None, 'idy': 32, 'coins': 50}"]
139->95["{'txnID': 139, 'idx': None, 'idy': 42, 'coins': 50}"]
140->95["{'txnID': 140, 'idx': None, 'idy': 37, 'coins': 50}"]
141->9["{'txnID': 141, 'idx': None, 'idy': 5, 'coins': 50}"]
142->95["{'txnID': 142, 'idx': None, 'idy': 12, 'coins': 50}"]
143->95["{'txnID': 143, 'idx': None, 'idy': 38, 'coins': 50}"]
144->99["{'txnID': 144, 'idx': None, 'idy': 18, 'coins': 50}"]
145->9["{'txnID': 145, 'idx': None, 'idy': 4, 'coins': 50}"]
146->95["{'txnID': 146, 'idx': None, 'idy': 40, 'coins': 50}"]
147->95["{'txnID': 147, 'idx': None, 'idy': 39, 'coins': 50}"]
148->95["{'txnID': 148, 'idx': None, 'idy': 33, 'coins': 50}"]
149->95["{'txnID': 149, 'idx': None, 'idy': 15, 'coins': 50}"]
150->95["{'txnID': 150, 'idx': None, 'idy': 35, 'coins': 50}"]
151->95["{'txnID': 151, 'idx': None, 'idy': 22, 'coins': 50}"]
152->51["{'txnID': 152, 'idx': None, 'idy': 7, 'coins': 50}"]
153->95["{'txnID': 153, 'idx': None, 'idy': 23, 'coins': 50}"]
154->95["{'txnID': 154, 'idx': None, 'idy': 55, 'coins': 50}"]
155->95["{'txnID': 155, 'idx': None, 'idy': 20, 'coins': 50}"]
156->95["{'txnID': 156, 'idx': None, 'idy': 45, 'coins': 50}"]
157->95["{'txnID': 157, 'idx': None, 'idy': 52, 'coins': 50}"]
158->95["{'txnID': 158, 'idx': None, 'idy': 3, 'coins': 50}"]
159->95["{'txnID': 159, 'idx': None, 'idy': 56, 'coins': 50}"]
160->95["{'txnID': 160, 'idx': None, 'idy': 47, 'coins': 50}"]
161->117["{'txnID': 161, 'idx': None, 'idy': 29, 'coins': 50}"]
162->95["{'txnID': 162, 'idx': None, 'idy': 25, 'coins': 50}"]
163->95["{'txnID': 163, 'idx': None, 'idy': 53, 'coins': 50}"]
164->117["{'txnID': 164, 'idx': None, 'idy': 17, 'coins': 50}"]
165->95["{'txnID': 165, 'idx': None, 'idy': 19, 'coins': 50}"]
166->9["{'txnID': 166, 'idx': None, 'idy': 0, 'coins': 50}"]
167->95["{'txnID': 167, 'idx': None, 'idy': 9, 'coins': 50}"]
168->117["{'txnID': 168, 'idx': None, 'idy': 48, 'coins': 50}"]
169->95["{'txnID': 169, 'idx': None, 'idy': 41, 'coins': 50}"]
170->95["{'txnID': 170, 'idx': None, 'idy': 43, 'coins': 50}"]
171->95["{'txnID': 171, 'idx': None, 'idy': 2, 'coins': 50}"]
172->95["{'txnID': 172, 'idx': None, 'idy': 49, 'coins': 50}"]
173->95["{'txnID': 173, 'idx': None, 'idy': 30, 'coins': 50}"]
174->95["{'txnID': 174, 'idx': None, 'idy': 50, 'coins': 50}"]
175->95["{'txnID': 175, 'idx': None, 'idy': 27, 'coins': 50}"]
176->117["{'txnID': 176, 'idx': None, 'idy': 6, 'coins': 50}"]
177->117["{'txnID': 177, 'idx': None, 'idy': 57, 'coins': 50}"]
178->117["{'txnID': 178, 'idx': None, 'idy': 28, 'coins': 50}"]
179->117["{'txnID': 179, 'idx': None, 'idy': 58, 'coins': 50}"]
180->95["{'txnID': 180, 'idx': None, 'idy': 14, 'coins': 50}"]
181->117["{'txnID': 181, 'idx': None, 'idy': 44, 'coins': 50}"]
182->95["{'txnID': 182, 'idx': None, 'idy': 10, 'coins': 50}"]
183->95["{'txnID': 183, 'idx': None, 'idy': 34, 'coins': 50}"]
184->117["{'txnID': 184, 'idx': None, 'idy': 37, 'coins': 50}"]
185->95["{'txnID': 185, 'idx': None, 'idy': 51, 'coins': 50}"]
186->117["{'txnID': 186, 'idx': None, 'idy': 8, 'coins': 50}"]
187->117["{'txnID': 187, 'idx': None, 'idy': 46, 'coins': 50}"]
188->95["{'txnID': 188, 'idx': None, 'idy': 36, 'coins': 50}"]
189->117["{'txnID': 189, 'idx': None, 'idy': 13, 'coins': 50}"]
190->117["{'txnID': 190, 'idx': None, 'idy': 59, 'coins': 50}"]
191->117["{'txnID': 191, 'idx': None, 'idy': 21, 'coins': 50}"]
192->95["{'txnID': 192, 'idx': None, 'idy': 24, 'coins': 50}"]
193->117["{'txnID': 193, 'idx': None, 'idy': 11, 'coins': 50}"]
194->117["{'txnID': 194, 'idx': None, 'idy': 42, 'coins': 50}"]
195->117["{'txnID': 195, 'idx': None, 'idy': 15, 'coins': 50}"]
196->95["{'txnID': 196, 'idx': None, 'idy': 1, 'coins': 50}"]
197->95["{'txnID': 197, 'idx': None, 'idy': 26, 'coins': 50}"]
198->95["{'txnID': 198, 'idx': None, 'idy': 5, 'coins': 50}"]
199->117["{'txnID': 199, 'idx': None, 'idy': 23, 'coins': 50}"]
200->95["{'txnID': 200, 'idx': None, 'idy': 7, 'coins': 50}"]
201->117["{'txnID': 201, 'idx': None, 'idy': 38, 'coins': 50}"]
202->168["{'txnID': 202, 'idx': None, 'idy': 48, 'coins': 50}"]
203->117["{'txnID': 203, 'idx': None, 'idy': 55, 'coins': 50}"]
204->117["{'txnID': 204, 'idx': None, 'idy': 33, 'coins': 50}"]
205->117["{'txnID': 205, 'idx': None, 'idy': 56, 'coins': 50}"]
206->117["{'txnID': 206, 'idx': None, 'idy': 31, 'coins': 50}"]
207->95["{'txnID': 207, 'idx': None, 'idy': 54, 'coins': 50}"]
208->117["{'txnID': 208, 'idx': None, 'idy': 25, 'coins': 50}"]
209->117["{'txnID': 209, 'idx': None, 'idy': 40, 'coins': 50}"]
210->117["{'txnID': 210, 'idx': None, 'idy': 32, 'coins': 50}"]
211->117["{'txnID': 211, 'idx': None, 'idy': 3, 'coins': 50}"]
212->168["{'txnID': 212, 'idx': None, 'idy': 29, 'coins': 50}"]
213->117["{'txnID': 213, 'idx': None, 'idy': 39, 'coins': 50}"]
214->168["{'txnID': 214, 'idx': None, 'idy': 57, 'coins': 50}"]
215->95["{'txnID': 215, 'idx': None, 'idy': 0, 'coins': 50}"]
216->117["{'txnID': 216, 'idx': None, 'idy': 16, 'coins': 50}"]
217->117["{'txnID': 217, 'idx': None, 'idy': 20, 'coins': 50}"]
218->117["{'txnID': 218, 'idx': None, 'idy': 45, 'coins': 50}"]
219->117["{'txnID': 219, 'idx': None, 'idy': 12, 'coins': 50}"]
220->117["{'txnID': 220, 'idx': None, 'idy': 52, 'coins': 50}"]
221->168["{'txnID': 221, 'idx': None, 'idy': 17, 'coins': 50}"]
222->117["{'txnID': 222, 'idx': None, 'idy': 49, 'coins': 50}"]
223->168["{'txnID': 223, 'idx': None, 'idy': 28, 'coins': 50}"]
224->117["{'txnID': 224, 'idx': None, 'idy': 22, 'coins': 50}"]
225->117["{'txnID': 225, 'idx': None, 'idy': 47, 'coins': 50}"]
226->117["{'txnID': 226, 'idx': None, 'idy': 18, 'coins': 50}"]
227->117["{'txnID': 227, 'idx': None, 'idy': 9, 'coins': 50}"]
228->168["{'txnID': 228, 'idx': None, 'idy': 37, 'coins': 50}"]
229->168["{'txnID': 229, 'idx': None, 'idy': 44, 'coins': 50}"]
230->168["{'txnID': 230, 'idx': None, 'idy': 6, 'coins': 50}"]
231->168["{'txnID': 231, 'idx': None, 'idy': 13, 'coins': 50}"]
232->168["{'txnID': 232, 'idx': None, 'idy': 59, 'coins': 50}"]
233->95["{'txnID': 233, 'idx': None, 'idy': 4, 'coins': 50}"]
234->231["{'txnID': 234, 'idx': None, 'idy': 13, 'coins': 50}"]
235->231["{'txnID': 235, 'idx': None, 'idy': 59, 'coins': 50}"]
236->195["{'txnID': 236, 'idx': None, 'idy': 15, 'coins': 50}"]
237->168["{'txnID': 237, 'idx': None, 'idy': 21, 'coins': 50}"]
238->168["{'txnID': 238, 'idx': None, 'idy': 11, 'coins': 50}"]
239->117["{'txnID': 239, 'idx': None, 'idy': 30, 'coins': 50}"]
240->231["{'txnID': 240, 'idx': None, 'idy': 48, 'coins': 50}"]
241->117["{'txnID': 241, 'idx': None, 'idy': 50, 'coins': 50}"]
242->168["{'txnID': 242, 'idx': None, 'idy': 8, 'coins': 50}"]
243->117["{'txnID': 243, 'idx': None, 'idy': 34, 'coins': 50}"]
244->117["{'txnID': 244, 'idx': None, 'idy': 2, 'coins': 50}"]
245->231["{'txnID': 245, 'idx': None, 'idy': 8, 'coins': 50}"]
246->168["{'txnID': 246, 'idx': None, 'idy': 46, 'coins': 50}"]
247->117["{'txnID': 247, 'idx': None, 'idy': 1, 'coins': 50}"]
248->231["{'txnID': 248, 'idx': None, 'idy': 6, 'coins': 50}"]
249->168["{'txnID': 249, 'idx': None, 'idy': 38, 'coins': 50}"]
250->117["{'txnID': 250, 'idx': None, 'idy': 35, 'coins': 50}"]
251->231["{'txnID': 251, 'idx': None, 'idy': 29, 'coins': 50}"]
252->168["{'txnID': 252, 'idx': None, 'idy': 56, 'coins': 50}"]
253->117["{'txnID': 253, 'idx': None, 'idy': 53, 'coins': 50}"]
254->231["{'txnID': 254, 'idx': None, 'idy': 57, 'coins': 50}"]
255->117["{'txnID': 255, 'idx': None, 'idy': 19, 'coins': 50}"]
256->168["{'txnID': 256, 'idx': None, 'idy': 42, 'coins': 50}"]
257->231["{'txnID': 257, 'idx': None, 'idy': 17, 'coins': 50}"]
258->168["{'txnID': 258, 'idx': None, 'idy': 33, 'coins': 50}"]
259->168["{'txnID': 259, 'idx': None, 'idy': 31, 'coins': 50}"]
260->251["{'txnID': 260, 'idx': None, 'idy': 29, 'coins': 50}"]
261->117["{'txnID': 261, 'idx': None, 'idy': 51, 'coins': 50}"]
262->117["{'txnID': 262, 'idx': None, 'idy': 14, 'coins': 50}"]
263->231["{'txnID': 263, 'idx': None, 'idy': 31, 'coins': 50}"]
264->117["{'txnID': 264, 'idx': None, 'idy': 41, 'coins': 50}"]
265->117["{'txnID': 265, 'idx': None, 'idy': 27, 'coins': 50}"]
266->231["{'txnID': 266, 'idx': None, 'idy': 28, 'coins': 50}"]
267->168["{'txnID': 267, 'idx': None, 'idy': 47, 'coins': 50}"]
268->168["{'txnID': 268, 'idx': None, 'idy': 40, 'coins': 50}"]
269->251["{'txnID': 269, 'idx': None, 'idy': 17, 'coins': 50}"]
270->168["{'txnID': 270, 'idx': None, 'idy': 32, 'coins': 50}"]
271->168["{'txnID': 271, 'idx': None, 'idy': 58, 'coins': 50}"]
272->117["{'txnID': 272, 'idx': None, 'idy': 24, 'coins': 50}"]
273->168["{'txnID': 273, 'idx': None, 'idy': 23, 'coins': 50}"]
274->231["{'txnID': 274, 'idx': None, 'idy': 37, 'coins': 50}"]
275->231["{'txnID': 275, 'idx': None, 'idy': 42, 'coins': 50}"]
276->251["{'txnID': 276, 'idx': None, 'idy': 48, 'coins': 50}"]
277->168["{'txnID': 277, 'idx': None, 'idy': 45, 'coins': 50}"]
278->248["{'txnID': 278, 'idx': None, 'idy': 6, 'coins': 50}"]
279->231["{'txnID': 279, 'idx': None, 'idy': 44, 'coins': 50}"]
280->168["{'txnID': 280, 'idx': None, 'idy': 55, 'coins': 50}"]
281->168["{'txnID': 281, 'idx': None, 'idy': 52, 'coins': 50}"]
282->117["{'txnID': 282, 'idx': None, 'idy': 43, 'coins': 50}"]
283->168["{'txnID': 283, 'idx': None, 'idy': 12, 'coins': 50}"]
284->231["{'txnID': 284, 'idx': None, 'idy': 12, 'coins': 50}"]
285->168["{'txnID': 285, 'idx': None, 'idy': 22, 'coins': 50}"]
286->231["{'txnID': 286, 'idx': None, 'idy': 21, 'coins': 50}"]
287->117["{'txnID': 287, 'idx': None, 'idy': 7, 'coins': 50}"]
288->251["{'txnID': 288, 'idx': None, 'idy': 57, 'coins': 50}"]
289->168["{'txnID': 289, 'idx': None, 'idy': 49, 'coins': 50}"]
290->168["{'txnID': 290, 'idx': None, 'idy': 16, 'coins': 50}"]
291->231["{'txnID': 291, 'idx': None, 'idy': 11, 'coins': 50}"]
292->168["{'txnID': 292, 'idx': None, 'idy': 25, 'coins': 50}"]
293->117["{'txnID': 293, 'idx': None, 'idy': 36, 'coins': 50}"]
294->168["{'txnID': 294, 'idx': None, 'idy': 9, 'coins': 50}"]
295->231["{'txnID': 295, 'idx': None, 'idy': 15, 'coins': 50}"]
296->168["{'txnID': 296, 'idx': None, 'idy': 3, 'coins': 50}"]
297->231["{'txnID': 297, 'idx': None, 'idy': 58, 'coins': 50}"]
298->231["{'txnID': 298, 'idx': None, 'idy': 40, 'coins': 50}"]
299->117["{'txnID': 299, 'idx': None, 'idy': 5, 'coins': 50}"]
300->248["{'txnID': 300, 'idx': None, 'idy': 8, 'coins': 50}"]
301->251["{'txnID': 301, 'idx': None, 'idy': 28, 'coins': 50}"]
302->117["{'txnID': 302, 'idx': None, 'idy': 10, 'coins': 50}"]
303->168["{'txnID': 303, 'idx': None, 'idy': 20, 'coins': 50}"]
304->117["{'txnID': 304, 'idx': None, 'idy': 54, 'coins': 50}"]
305->117["{'txnID': 305, 'idx': None, 'idy': 26, 'coins': 50}"]
306->251["{'txnID': 306, 'idx': None, 'idy': 58, 'coins': 50}"]
307->231["{'txnID': 307, 'idx': None, 'idy': 46, 'coins': 50}"]
308->251["{'txnID': 308, 'idx': None, 'idy': 44, 'coins': 50}"]
309->231["{'txnID': 309, 'idx': None, 'idy': 38, 'coins': 50}"]
310->251["{'txnID': 310, 'idx': None, 'idy': 37, 'coins': 50}"]
311->231["{'txnID': 311, 'idx': None, 'idy': 56, 'coins': 50}"]
312->168["{'txnID': 312, 'idx': None, 'idy': 18, 'coins': 50}"]
313->251["{'txnID': 313, 'idx': None, 'idy': 46, 'coins': 50}"]
314->231["{'txnID': 314, 'idx': None, 'idy': 16, 'coins': 50}"]
315->231["{'txnID': 315, 'idx': None, 'idy': 45, 'coins': 50}"]
316->168["{'txnID': 316, 'idx': None, 'idy': 1, 'coins': 50}"]
317->251["{'txnID': 317, 'idx': None, 'idy': 21, 'coins': 50}"]
318->251["{'txnID': 318, 'idx': None, 'idy': 13, 'coins': 50}"]
319->251["{'txnID': 319, 'idx': None, 'idy': 59, 'coins': 50}"]
320->231["{'txnID': 320, 'idx': None, 'idy': 33, 'coins': 50}"]
321->231["{'txnID': 321, 'idx': None, 'idy': 22, 'coins': 50}"]
322->293["{'txnID': 322, 'idx': None, 'idy': 36, 'coins': 50}"]
323->251["{'txnID': 323, 'idx': None, 'idy': 11, 'coins': 50}"]
324->195["{'txnID': 324, 'idx': None, 'idy': 39, 'coins': 50}"]
325->251["{'txnID': 325, 'idx': None, 'idy': 42, 'coins': 50}"]
326->168["{'txnID': 326, 'idx': None, 'idy': 35, 'coins': 50}"]
327->231["{'txnID': 327, 'idx': None, 'idy': 55, 'coins': 50}"]
328->231["{'txnID': 328, 'idx': None, 'idy': 32, 'coins': 50}"]
329->168["{'txnID': 329, 'idx': None, 'idy': 53, 'coins': 50}"]
330->231["{'txnID': 330, 'idx': None, 'idy': 23, 'coins': 50}"]
331->251["{'txnID': 331, 'idx': None, 'idy': 15, 'coins': 50}"]
332->117["{'txnID': 332, 'idx': None, 'idy': 4, 'coins': 50}"]
333->231["{'txnID': 333, 'idx': None, 'idy': 49, 'coins': 50}"]
334->231["{'txnID': 334, 'idx': None, 'idy': 18, 'coins': 50}"]
335->168["{'txnID': 335, 'idx': None, 'idy': 30, 'coins': 50}"]
336->117["{'txnID': 336, 'idx': None, 'idy': 0, 'coins': 50}"]
337->168["{'txnID': 337, 'idx': None, 'idy': 19, 'coins': 50}"]
338->168["{'txnID': 338, 'idx': None, 'idy': 27, 'coins': 50}"]
339->231["{'txnID': 339, 'idx': None, 'idy': 52, 'coins': 50}"]
340->231["{'txnID': 340, 'idx': None, 'idy': 39, 'coins': 50}"]
341->168["{'txnID': 341, 'idx': None, 'idy': 41, 'coins': 50}"]
342->168["{'txnID': 342, 'idx': None, 'idy': 50, 'coins': 50}"]
343->251["{'txnID': 343, 'idx': None, 'idy': 23, 'coins': 50}"]
344->231["{'txnID': 344, 'idx': None, 'idy': 41, 'coins': 50}"]
345->251["{'txnID': 345, 'idx': None, 'idy': 38, 'coins': 50}"]
346->168["{'txnID': 346, 'idx': None, 'idy': 34, 'coins': 50}"]
347->231["{'txnID': 347, 'idx': None, 'idy': 47, 'coins': 50}"]
348->251["{'txnID': 348, 'idx': None, 'idy': 55, 'coins': 50}"]
349->231["{'txnID': 349, 'idx': None, 'idy': 9, 'coins': 50}"]
350->251["{'txnID': 350, 'idx': None, 'idy': 31, 'coins': 50}"]
351->231["{'txnID': 351, 'idx': None, 'idy': 25, 'coins': 50}"]
352->251["{'txnID': 352, 'idx': None, 'idy': 33, 'coins': 50}"]
353->251["{'txnID': 353, 'idx': None, 'idy': 56, 'coins': 50}"]
354->231["{'txnID': 354, 'idx': None, 'idy': 3, 'coins': 50}"]
355->168["{'txnID': 355, 'idx': None, 'idy': 43, 'coins': 50}"]
356->251["{'txnID': 356, 'idx': None, 'idy': 16, 'coins': 50}"]
357->231["{'txnID': 357, 'idx': None, 'idy': 20, 'coins': 50}"]
